oras,siruta,cod,cod_functional,sectiune,coloana,valoare_veche,valoare_noua,raport,raport_relativ,semnatura,vechi_verificat,nou_verificat,pagina_noua,prioritate
Iași,95060,74.02.05,,Varsaminte din sectiunea de functionare pentru finantarea sectiunii de dezvoltare a bugetelui local,credite_restante,34.63,8685.30,250.8,252.4,outlier,True,True,51,1344.7
Iași,95060,20,74.02,Varsaminte din sectiunea de functionare pentru finantarea sectiunii de dezvoltare a bugetelui local,credite_restante,34.63,8685.30,250.8,252.4,outlier,True,True,50,1344.7
Iași,95060,74.02.05.01,,Varsaminte din sectiunea de functionare,credite_restante,34.63,8685.30,250.8,252.4,outlier,True,True,38,1344.7
Iași,95060,20,74.02,Varsaminte din sectiunea de functionare,credite_restante,34.63,8685.30,250.8,252.4,outlier,True,True,38,1344.7
Iași,95060,74.02.05.01,,Varsaminte din sectiunea de functionare pentru finantarea sectiunii de dezvoltare a bugetelui local,credite_restante,34.63,8685.30,250.8,252.4,outlier,True,True,51,1344.7
Iași,95060,67.02.03.03,,Varsaminte din sectiunea de functionare pentru finantarea sectiunii de dezvoltare a bugetelui local,est2027,16.00,4547.51,284.2,286.1,outlier,True,True,48,1317.6
Iași,95060,67.02.03.03,,Varsaminte din sectiunea de functionare pentru finantarea sectiunii de dezvoltare a bugetelui local,est2026,16.00,4369.04,273.1,274.8,outlier,True,True,48,1254.7
Iași,95060,61,99.02,Varsaminte din sectiunea de functionare,credite_restante,6029.66,27.25,0.004519,0.004549,outlier,True,True,55,1078.5
Iași,95060,61.10.03,,Varsaminte din sectiunea de functionare,est2026,49130.99,392.02,0.007979,0.008031,outlier,True,True,79,989.2
Iași,95060,61.10.03.04,,Varsaminte din sectiunea de functionare,est2026,49130.99,392.02,0.007979,0.008031,outlier,True,True,79,989.2
Iași,95060,59.10,,Varsaminte din sectiunea de functionare,est2026,49130.99,392.02,0.007979,0.008031,outlier,True,True,79,989.2
Iași,95060,61.10.03,,Varsaminte din sectiunea de functionare,est2027,50408.42,408.09,0.008096,0.008148,outlier,True,True,79,980.8
Iași,95060,61.10.03.04,,Varsaminte din sectiunea de functionare,est2027,50408.42,408.09,0.008096,0.008148,outlier,True,True,79,980.8
Iași,95060,59.10,,Varsaminte din sectiunea de functionare,est2027,50408.42,408.09,0.008096,0.008148,outlier,True,True,79,980.8
Iași,95060,65.10.03,,Varsaminte din sectiunea de functionare pentru finantarea sectiunii de dezvoltare a bugetelui local,est2026,823.87,15842.50,19.23,19.35,outlier,True,False,75,946.0
Iași,95060,65.10.03,,Varsaminte din sectiunea de functionare pentru finantarea sectiunii de dezvoltare a bugetelui local,est2027,834.20,15326.10,18.37,18.49,outlier,True,False,75,897.0
